ID	Module	newScore	Score	LogFC	Symbol	MGI	URL	Process	Function	Component	Pathway
ENSMUSG00000071711		0.0	-5.85279285935253	0.0868449062476646	Mpst	MGI:2179733	http://www.kegg.jp/dbget-bin/www_bget?mmu:246221				
ENSMUSG00000038583		0.0	-5.6036901711882	-0.142339573333943	Pln	MGI:97622	http://www.kegg.jp/dbget-bin/www_bget?mmu:18821				
ENSMUSG00000071714		0.0	-6.12767875692656	-0.0326407281120061	Csf2rb2	MGI:1339760	http://www.kegg.jp/dbget-bin/www_bget?mmu:12984				
ENSMUSG00000017146		0.0	-2.55648155556194	1.32408673757551	Brca1	MGI:104537	http://www.kegg.jp/dbget-bin/www_bget?mmu:12189				
ENSMUSG00000067225		0.0	-4.90918360662294	0.202969991576455	Cyp2c54	MGI:3642960	http://www.kegg.jp/dbget-bin/www_bget?mmu:404195				
ENSMUSG00000030082		0.0	0.857537190431771	-0.459259954829929	Sec61a1	MGI:1858417	http://www.kegg.jp/dbget-bin/www_bget?mmu:53421				
ENSMUSG00000030084		0.0	-3.95882646932967	-0.65460568128739	Plxna1	MGI:107685	http://www.kegg.jp/dbget-bin/www_bget?mmu:18844				
ENSMUSG00000038092		0.0	-5.98538398375848	0.047525182845875	Hsd3b5	MGI:104645	http://www.kegg.jp/dbget-bin/www_bget?mmu:15496				
ENSMUSG00000030088		0.0	-5.69141670807639	-0.13111790836395	Aldh1l1	MGI:1340024	http://www.kegg.jp/dbget-bin/www_bget?mmu:107747				
ENSMUSG00000059741		0.0	-4.89005299335634	0.194386260528564	Myl3	MGI:97268	http://www.kegg.jp/dbget-bin/www_bget?mmu:17897				
ENSMUSG00000037211		0.0	-3.09853767374692	-0.680210007889491	Spry1	MGI:1345139	http://www.kegg.jp/dbget-bin/www_bget?mmu:24063				
ENSMUSG00000030246		0.0	-2.79401137827685	-0.835395680513439	Ldhb	MGI:96763	http://www.kegg.jp/dbget-bin/www_bget?mmu:16832				
ENSMUSG00000030532		0.0	-2.53536608033454	-0.926450821764077	Hddc3	MGI:1915945	http://www.kegg.jp/dbget-bin/www_bget?mmu:68695				
ENSMUSG00000030536		0.0	-2.70932589159855	0.880828662137828	Iqgap1	MGI:1352757	http://www.kegg.jp/dbget-bin/www_bget?mmu:29875				
ENSMUSG00000030539		0.0	-2.18934859964172	0.630208068563141	Sema4b	MGI:107559	http://www.kegg.jp/dbget-bin/www_bget?mmu:20352				
ENSMUSG00000059183		0.0	-5.96378393571258	-0.0675428413483443	Mtfmt	MGI:1916856	http://www.kegg.jp/dbget-bin/www_bget?mmu:69606				
ENSMUSG00000031337		0.0	-2.24751981668405	1.18384526080344	Mtm1	MGI:1099452	http://www.kegg.jp/dbget-bin/www_bget?mmu:17772				
ENSMUSG00000027752		0.0	-4.98724521062609	0.376517158369283	Exosc8	MGI:1916889	http://www.kegg.jp/dbget-bin/www_bget?mmu:69639				
ENSMUSG00000023439		0.0	-6.1891278950181	-0.0110347368004179	Gnb3	MGI:95785	http://www.kegg.jp/dbget-bin/www_bget?mmu:14695				
ENSMUSG00000070719		0.0	-4.58671088106036	0.242527507562573	Pla2g4d	MGI:1925640	http://www.kegg.jp/dbget-bin/www_bget?mmu:78390				
ENSMUSG00000053604		0.0	-5.18722941581171	-0.265013154756222	Rpia	MGI:103254	http://www.kegg.jp/dbget-bin/www_bget?mmu:19895				
ENSMUSG00000000320		0.0	-4.98723306094117	0.167763933135226	Alox12	MGI:87998	http://www.kegg.jp/dbget-bin/www_bget?mmu:11684				
ENSMUSG00000040525		0.0	-4.99524474093251	-0.174579830567754	Cblc	MGI:1931457	http://www.kegg.jp/dbget-bin/www_bget?mmu:80794				
ENSMUSG00000040296		0.0	-4.59920805162512	-0.326159490685304	Ddx58	MGI:2442858	http://www.kegg.jp/dbget-bin/www_bget?mmu:230073				
ENSMUSG00000026113		0.0	-2.72295738157458	-0.614791971921813	Inpp4a	MGI:1931123	http://www.kegg.jp/dbget-bin/www_bget?mmu:269180				
ENSMUSG00000062312		0.0	-5.52907579691169	-0.116266742083366	Erbb2	MGI:95410	http://www.kegg.jp/dbget-bin/www_bget?mmu:13866				
ENSMUSG00000022124		0.0	-4.025581950643	-0.444164271754744	Fbxl3	MGI:1354702	http://www.kegg.jp/dbget-bin/www_bget?mmu:50789				
ENSMUSG00000038656		0.0	-4.20886435848321	-0.316044459506428	Cyp3a16	MGI:106099	http://www.kegg.jp/dbget-bin/www_bget?mmu:13114				
ENSMUSG00000060923		0.0	-0.901187007960411	-0.977406617799246	Acyp2	MGI:1922822	http://www.kegg.jp/dbget-bin/www_bget?mmu:75572				
ENSMUSG00000011179		0.0	-5.93746409936143	0.130634712409985	Odc1	MGI:97402	http://www.kegg.jp/dbget-bin/www_bget?mmu:18263				
ENSMUSG00000022122		0.0	-5.4876168405111	-0.127219503246965	Ednrb	MGI:102720	http://www.kegg.jp/dbget-bin/www_bget?mmu:13618				
ENSMUSG00000022129		0.0	-5.36927593506416	-0.121457671808027	Dct	MGI:102563	http://www.kegg.jp/dbget-bin/www_bget?mmu:13190				
ENSMUSG00000066366		0.0	-5.97657826068513	-0.1983585280842	Serpina1a	MGI:891971	http://www.kegg.jp/dbget-bin/www_bget?mmu:20700				
ENSMUSG00000039783		0.0	-6.18990578639288	0.0134274785324943	Kmo	MGI:2138151	http://www.kegg.jp/dbget-bin/www_bget?mmu:98256				
ENSMUSG00000025877		0.0	-5.24401383455311	0.190478760692063	Hk3	MGI:2670962	http://www.kegg.jp/dbget-bin/www_bget?mmu:212032				
